Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,
Type04,230,PURE_SVR,7.38641,6.80551,1.06474,0.21403,1.92678,0.06219,0.98649,0.9932,,,,,,,,,,
Type04,230,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,,
Type04,240,PCA_GPR,16.50246,16.21472,17.93342,3.87967,51.09629,4.21662,0.8684,0.92957,,,,,,,,,,
Type04,240,PCA_KRR,7.76574,6.97616,4.20083,1.0921,5.7841,0.61948,0.9546,0.97677,,,,,,,,,,
Type04,240,PCA_LINEAR,7.8535,7.11374,3.82624,0.79729,3.54152,0.175,0.9656,0.9825,,,,,,,,,,
Type04,240,PCA_SVR,7.68905,6.92848,4.17888,0.98554,5.44309,0.10321,0.96054,0.97988,,,,,,,,,,
Type04,240,PURE_GPR,7.25047,6.52605,4.00255,1.14539,6.87811,0.77357,0.9503,0.97451,,,,,,,,,,
Type04,240,PURE_KRR,7.85169,7.02292,4.19635,1.07283,6.12976,0.44786,0.95102,0.9749,,,,,,,,,,
Type04,240,PURE_SVR,7.77819,7.08645,4.20745,1.12362,6.48752,0.69791,0.9483,0.97346,,,,,,,,,,
Type04,240,RATIO_CTRL,1.50157,1.37871,2.37712,0.70079,0.15645,0.67078,0.97378,0.98671,,,,,,,,,,
Type04,250,PCA_GPR,11.54646,11.3166,7.83007,1.53593,19.93656,1.49157,0.94194,0.9701,,,,,,,,,,
Type04,250,PCA_KRR,8.3896,7.59255,2.60297,1.00286,4.14073,0.98928,0.9574,0.97824,,,,,,,,,,
Type04,250,PCA_LINEAR,8.32068,7.55532,2.25901,0.6825,3.20093,0.34911,0.96838,0.98393,,,,,,,,,,
